playlist_name,playlist_id,followers,average_danceability,average_energy,average_key,average_loudness,average_mode,average_speechiness,average_acousticness,average_instrumentalness,average_liveness,average_valence,average_tempo,average_time_signature,average_duration_ms,total_duration,total_num,genre,max_popularity,avg_popularity
This Is: Al Green,37i9dQZF1DWZMCPjHG57gq,27122,0.6635,0.431,5.269230769,-11.58526923,0.807692308,0.064419231,0.330030769,0.027443604,0.127023077,0.632692308,114.8786154,3.846153846,235187.1154,6114865,26,rock,73,22.03846154
This Is: alt-J,37i9dQZF1DWXMmak2OV7PN,62309,0.482478261,0.48226087,5.217391304,-10.75856522,0.782608696,0.04106087,0.524208696,0.23451913,0.144056522,0.288730435,126.4673478,4,244150.1304,5615453,23,rock,71,52.95652174
This Is: Aqua,37i9dQZF1DX3reMgdkcDa4,7346,0.703190476,0.833,3.761904762,-5.995666667,0.523809524,0.04847619,0.041955095,0.032040996,0.193619048,0.719190476,129.1971905,4,220235.4762,4624945,21,dance,56,32.42857143
This is: Aretha Franklin,37i9dQZF1DX6bJVMtDYJHx,26987,0.58638,0.55208,5.12,-9.59664,0.8,0.060648,0.375784,0.00595583,0.225472,0.616958,118.03716,3.8,237206.8,11860340,50,oldies,67,42.28
This Is: Bee Gees,37i9dQZF1DWZvGllBOMzci,118382,0.575230769,0.491448077,5.096153846,-11.45307692,0.673076923,0.041063462,0.267939846,0.012328109,0.263278846,0.572038462,108.4641923,3.980769231,239702.3269,12464521,52,rock,58,41.26923077
This Is: blink-182,37i9dQZF1DX4EKARgqYPFZ,130409,0.431184615,0.918292308,5.861538462,-4.953215385,0.953846154,0.083649231,0.010679839,0.009618046,0.250624615,0.525923077,130.1070308,3.923076923,177980.9231,11568760,65,christmas,73,39.86153846
This is: Bronzeville,37i9dQZF1DWY5M5bfaAf3t,5125,0.50744,0.32568,3.64,-11.65408,0.68,0.116992,0.87056,0.109564472,0.220188,0.519372,111.68256,3.68,154028.88,3850722,25,christmas,54,21.92
This Is: Bruno Mars,37i9dQZF1DX177vQ7mVRmP,1219388,0.680105263,0.694210526,3.552631579,-5.396105263,0.657894737,0.070781579,0.203381579,1.44E-05,0.180702632,0.626789474,126.2775263,3.973684211,224840.8421,8543952,38,pop,87,68.5
This is: Carole King,37i9dQZF1DX6GiJlVeD6Ou,11711,0.57398,0.46538,4.26,-10.58762,0.84,0.0347,0.541832,0.039168562,0.125268,0.58968,123.45654,3.94,205254.82,10262741,50,rock,63,19.16
This is: Deep Purple,37i9dQZF1DX5WtNRbfbuUo,44495,0.45494,0.733748,6.52,-8.90568,0.62,0.05438,0.08869288,0.184707604,0.173264,0.555188,126.58632,3.94,291208.34,14560417,50,rock,68,34.92
This Is: Depeche Mode,37i9dQZF1DX3BSwupE5hR7,97175,0.592018868,0.715056604,6.018867925,-9.171698113,0.452830189,0.038786792,0.132062189,0.10816786,0.173545283,0.530067925,123.1738491,3.886792453,274383.3208,14542316,53,rock,62,43.52830189
This Is: Dispatch,37i9dQZF1DWVRrLXgTbWFy,6550,0.511571429,0.669514286,5.371428571,-6.728885714,0.571428571,0.059131429,0.37096,0.021499123,0.266331429,0.493388571,113.9933714,4.057142857,281233.8286,9843184,35,rock,59,37.45714286
This Is: Ed Sheeran,37i9dQZF1DWWxPM4nWdhyI,2162394,0.680153846,0.510384615,5.435897436,-6.975333333,0.769230769,0.066964103,0.418455385,0.000138974,0.174994872,0.586538462,108.1611026,3.897435897,237891.359,9277763,39,pop,97,73.41025641
This Is: Future,37i9dQZF1DWVstK6FYh8Nw,267288,0.78105,0.5769,4.1,-6.7169,0.625,0.193215,0.07044625,0.028359963,0.1622925,0.2995275,136.96655,3.975,212941.775,8517671,40,rap,84,66.9
This Is: George Michael,37i9dQZF1DXcIVSTUG9zAG,168599,0.61652,0.5465,6.02,-11.99218,0.58,0.049038,0.2589012,0.009863435,0.342008,0.526366,116.62008,3.86,312730.14,15636507,50,pop,76,53.42
This is: Gillian Welch,37i9dQZF1DWUifRttnt99X,6117,0.591795918,0.246587755,5.469387755,-12.17610204,0.857142857,0.033408163,0.754396531,0.013891213,0.170281633,0.408346939,115.2033265,3.897959184,239320.3673,11726698,49,country,52,34.28571429
This Is: James Arthur,37i9dQZF1DX3Csy1LFxjkI,114912,0.474105263,0.640421053,6.473684211,-5.877052632,0.473684211,0.076389474,0.271131789,5.22E-06,0.129852632,0.392736842,113.2301053,3.947368421,223428,4245132,19,pop,85,60.15789474
This is: Jamiroquai,37i9dQZF1DX9OTdoPfdJpF,61128,0.694,0.748859375,5.40625,-7.947015625,0.53125,0.064695313,0.167720781,0.150229473,0.137990625,0.696015625,116.2764375,4,291409.6094,18650215,64,electronic,61,42.59375
This Is: John Mayer,37i9dQZF1DWYrlaUEYy4Vg,171895,0.614344828,0.495237931,4.879310345,-8.898844828,0.844827586,0.034893103,0.456209483,0.060817278,0.140118966,0.458896552,117.1533448,3.913793103,236619.1034,13723908,58,pop,74,60.39655172
This Is: John Legend,37i9dQZF1DX8DxW4iib3Eq,89745,0.550567568,0.580986486,5.918918919,-6.950459459,0.594594595,0.090602703,0.405083784,0.000221932,0.184481081,0.477621622,107.8884595,3.972972973,246155.5405,9107755,37,indie,83,48.08108108
This Is: Justin Bieber,37i9dQZF1DXc2aPBXGmXrt,1013757,0.652081633,0.671081633,4.020408163,-5.797938776,0.530612245,0.088122449,0.172475306,0.000185518,0.176277551,0.52032449,115.051551,3.959183673,226186.1633,11083122,49,pop,90,60.36734694
This Is: Lady Gaga,37i9dQZF1DXc7FZ2VBjaeT,253672,0.658085714,0.744114286,4.171428571,-5.247657143,0.628571429,0.065531429,0.116614057,0.002255155,0.180762857,0.565,120.6846286,3.914285714,232282.4,8129884,35,pop,77,51
This Is: LANY,37i9dQZF1DX1xlmTNXq2Qg,160338,0.63859375,0.60378125,4.71875,-7.82290625,0.875,0.086415625,0.297957813,0.055063061,0.184371875,0.40275,114.9411563,3.9375,217348.1563,6955141,32,indie,80,55.84375
This Is: Laura Marling,37i9dQZF1DX3Hdbt1R3mYP,7395,0.480714286,0.379805714,4.142857143,-12.02117143,0.628571429,0.042771429,0.572380286,0.011804838,0.143305714,0.397771429,117.9850571,3.657142857,231301.2,8095542,35,indie,55,31.17142857
This Is:  Miranda Lambert,37i9dQZF1DWULYh276RumE,47837,0.527070175,0.675403509,5.649122807,-6.383596491,0.912280702,0.039331579,0.209821579,0.002475732,0.153478947,0.451850877,129.5009474,3.912280702,222257.0702,12668653,57,country,67,47.61403509
